Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,3521418059.92345,20497128555.6972,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17233051620.1117,20146416757.5987,19907329777.5872,17805098206.3141,15856668555.8336,12416152732.0567,10109297047.5432,9747886187.39393,6971758282.29351,6203256538.70967,5224896718.67782,4520946818.54581,3825701438.99963,2813571753.87253
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,3480355258.04122,13228147516.1168,11386853113.0189,11861199830.8396,13019726211.7369,15379509891.7196,15585105131.0644,15241458744.8688,18032010563.7558,19017242585.7803,23547179830.4413,12776224496.9718,12319834195.331,12890760315.146,11926926615.8015,12044205549.6571,12881352893.6855,10677324852.8822,8896075004.63516,8052077248.14638,7184685781.51876,5611496257.14231,4348068242.19512,3922100793.5403
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,54790398570.3282,238942664192.59,187493855609.345,180763839522.151,189880896903.073,194554483655.528,193459662090.677,164873415325.201,186231205262.082,225638456572.143,247626161016.414,229701430292.157,227143746075.934,218331946925.304,177785053939.531,150317292079.359,180383848331.135,142482739809.849,123084258693.01,107046618669.707,91913680985.1708,73482264190.9245,61516103406.1688,59413400923.6364
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,..,638000000,640000000,570000000,573000000,675000000,560000000,518000000,493000000,500000000,509000000,524000000,512000000,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1432606188.69324,3271685596.66321,2789881258.50362,2896610479.73077,3000162081.11976,3218419896.9641,3155149347.80639,2891001149.3611,3324647529.381,3380612573.32922,3785067331.7625,3193512950.02419,3188652765.36184,3629133574.27783,3449925738.86069,3688976340.7549,4102319399.02343,3957625367.21959,3459337986.88383,3161084091.11674,2900245324.49221,2366941808.94404,1764279824.29752,1548265808.05802
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,9129594970.15301,135966802586.713,90496420506.5957,52761617225.9253,73690154990.7312,79450688259.3664,70897962732.0277,48501561203.5686,66505129987.7235,104399746853.401,84824654481.7249,132339109040.232,128052915766.343,111789747670.59,83799474069.7315,70307196181.6539,88538665084.8634,65266415494.2584,52381025141.4268,36970900883.8109,23552057679.4994,17812704586.4397,15285592370.374,8936079117.73136
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,900551851.851852,1378829629.62963,1437755555.55556,1489692592.59259,1531151851.85185,1661529629.62963,1725351851.85185,1410796296.2963,1601366666.66667,1867733333.33333,2033085185.18518,1325425925.92593,1327107407.40741,1281337037.03704,1298255555.55556,1386444444.44444,1557540740.74074,1487300000,1303548148.14815,1143714814.81481,1026181481.48148,947955555.555555,897988888.888889,877514814.814815
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,284203750000,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,486564085480.036,632790070063.124,646075277525.125,552025140252.246,545982375701.128,530158122010.442,423627422092.49,332976484577.619,361558037110.419,287530508430.568,232557260817.308,198737095012.282,164657930452.787,127586973492.177,97724004251.8602,268696750000
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,1911563668.85006,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,24085749592.3359,11121464437.0415,10619320682.9474,10142111824.5835,9260285755.62424,8647937081.2562,11662040713.8753,9206301269.79164,6384452066.5146,4900469511.10191,3576615240.41616,2807061008.69084,2376335048.39976,2118467913.37873
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,1873452513.96648,2790849720.67039,2962907262.56983,2983635195.53073,3092429050.27933,3276184357.5419,3395798882.68156,2481857122.8401,2929446578.25104,3279343543.60416,3648573136.15155,2727849720.67039,2615208379.88827,2637859217.87709,2453597206.70391,2553793296.08939,2843024581.00559,2677641340.78212,2469782681.56425,2360017318.43575,2254830726.25698,2044111731.84358,1961843575.41899,1896456983.24022
